"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K5";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
2;"K1,K2";"easyC-connector";2;"easyC-SMD";;;
3;"C4";"0603C";1;"100n";;;
4;"U1";"TSSOP-16";1;"TCA9534PWR";;;
5;"R2,R1,R3";"0603R";3;"100k";;;
6;"JP4,JP3,JP5";"SMD_JUMPER";3;"SMD_JUMPER";;;
7;"C2,C1";"0805C";2;"CL10A226MPCNUBE";;;
8;"Q1";"SOT-23-3";1;"NMOS";;;
9;"R8,R10,R9,R6,R4";"0603R";5;"10k";;;
10;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
11;"R5";"0603R";1;"0R";;;
12;"U2";"tps613222a";1;"TPS613222A";;;
13;"C3";"0603C";1;"1u";;;
14;"U3";"SOT-363";1;"NMOS-DUAL";;;
15;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
16;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
17;"R7";"tc33x-2-103e";1;"tc33x-2-103e";;;
18;"C5";"0805C";1;"C1608X7S1A475K080AC";;;
19;"K3,K4";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
